drugcentral_id,name,best_affinity_kcal_mol,output_pdbqt
164,aminoglutethimide,-7.9,runs/full-3L4D-CYP51-screen/docked/164_out.pdbqt
1700,mepivacaine,-7.9,runs/full-3L4D-CYP51-screen/docked/1700_out.pdbqt
1709,meropenem,-7.9,runs/full-3L4D-CYP51-screen/docked/1709_out.pdbqt
1763,methylthioninium chloride,-7.9,runs/full-3L4D-CYP51-screen/docked/1763_out.pdbqt
1791,metyrapone,-7.9,runs/full-3L4D-CYP51-screen/docked/1791_out.pdbqt
1860,mycophenolic acid,-7.9,runs/full-3L4D-CYP51-screen/docked/1860_out.pdbqt
1863,nabumetone,-7.9,runs/full-3L4D-CYP51-screen/docked/1863_out.pdbqt
1903,netilmicin,-7.9,runs/full-3L4D-CYP51-screen/docked/1903_out.pdbqt
1988,olsalazine,-7.9,runs/full-3L4D-CYP51-screen/docked/1988_out.pdbqt
200,amprenavir,-7.9,runs/full-3L4D-CYP51-screen/docked/200_out.pdbqt
2034,oxymorphone,-7.9,runs/full-3L4D-CYP51-screen/docked/2034_out.pdbqt
2143,fenamisal,-7.9,runs/full-3L4D-CYP51-screen/docked/2143_out.pdbqt
2291,propafenone,-7.9,runs/full-3L4D-CYP51-screen/docked/2291_out.pdbqt
2316,protirelin,-7.9,runs/full-3L4D-CYP51-screen/docked/2316_out.pdbqt
2499,sulfacytine,-7.9,runs/full-3L4D-CYP51-screen/docked/2499_out.pdbqt
256,atomoxetine,-7.9,runs/full-3L4D-CYP51-screen/docked/256_out.pdbqt
257,atorvastatin,-7.9,runs/full-3L4D-CYP51-screen/docked/257_out.pdbqt
2630,thiethylperazine,-7.9,runs/full-3L4D-CYP51-screen/docked/2630_out.pdbqt
2733,trichlormethiazide,-7.9,runs/full-3L4D-CYP51-screen/docked/2733_out.pdbqt
2774,tropicamide,-7.9,runs/full-3L4D-CYP51-screen/docked/2774_out.pdbqt
2869,zolmitriptan,-7.9,runs/full-3L4D-CYP51-screen/docked/2869_out.pdbqt
3429,perflexane,-7.9,runs/full-3L4D-CYP51-screen/docked/3429_out.pdbqt
3739,etoxazene,-7.9,runs/full-3L4D-CYP51-screen/docked/3739_out.pdbqt
431,levobunolol,-7.9,runs/full-3L4D-CYP51-screen/docked/431_out.pdbqt
4380,desvenlafaxine,-7.9,runs/full-3L4D-CYP51-screen/docked/4380_out.pdbqt
4627,sincalide,-7.9,runs/full-3L4D-CYP51-screen/docked/4627_out.pdbqt
4,levobupivacaine,-7.9,runs/full-3L4D-CYP51-screen/docked/4_out.pdbqt
5298,sarecycline,-7.9,runs/full-3L4D-CYP51-screen/docked/5298_out.pdbqt
603,chlormezanone,-7.9,runs/full-3L4D-CYP51-screen/docked/603_out.pdbqt
632,cyclacillin,-7.9,runs/full-3L4D-CYP51-screen/docked/632_out.pdbqt
711,clorazepate,-7.9,runs/full-3L4D-CYP51-screen/docked/711_out.pdbqt
782,dapsone,-7.9,runs/full-3L4D-CYP51-screen/docked/782_out.pdbqt
974,dyclonine,-7.9,runs/full-3L4D-CYP51-screen/docked/974_out.pdbqt
1018,entacapone,-7.8,runs/full-3L4D-CYP51-screen/docked/1018_out.pdbqt
1223,flutamide,-7.8,runs/full-3L4D-CYP51-screen/docked/1223_out.pdbqt
1379,homatropine,-7.8,runs/full-3L4D-CYP51-screen/docked/1379_out.pdbqt
1400,hydroxyzine,-7.8,runs/full-3L4D-CYP51-screen/docked/1400_out.pdbqt
1445,inositol nicotinate,-7.8,runs/full-3L4D-CYP51-screen/docked/1445_out.pdbqt
1587,lisinopril,-7.8,runs/full-3L4D-CYP51-screen/docked/1587_out.pdbqt
176,amiodarone,-7.8,runs/full-3L4D-CYP51-screen/docked/176_out.pdbqt
1830,molindone,-7.8,runs/full-3L4D-CYP51-screen/docked/1830_out.pdbqt
1842,moracizine,-7.8,runs/full-3L4D-CYP51-screen/docked/1842_out.pdbqt
1909,nicardipine,-7.8,runs/full-3L4D-CYP51-screen/docked/1909_out.pdbqt
1986,olopatadine,-7.8,runs/full-3L4D-CYP51-screen/docked/1986_out.pdbqt
2132,pheniramine,-7.8,runs/full-3L4D-CYP51-screen/docked/2132_out.pdbqt
2139,phensuximide,-7.8,runs/full-3L4D-CYP51-screen/docked/2139_out.pdbqt
2173,pinacidil,-7.8,runs/full-3L4D-CYP51-screen/docked/2173_out.pdbqt
2331,mepyramine,-7.8,runs/full-3L4D-CYP51-screen/docked/2331_out.pdbqt
2510,sulfamerazine,-7.8,runs/full-3L4D-CYP51-screen/docked/2510_out.pdbqt
2524,sulfapyridine,-7.8,runs/full-3L4D-CYP51-screen/docked/2524_out.pdbqt
2637,thioridazine,-7.8,runs/full-3L4D-CYP51-screen/docked/2637_out.pdbqt
2684,tobramycin,-7.8,runs/full-3L4D-CYP51-screen/docked/2684_out.pdbqt
2762,tripelennamine,-7.8,runs/full-3L4D-CYP51-screen/docked/2762_out.pdbqt
2798,valaciclovir,-7.8,runs/full-3L4D-CYP51-screen/docked/2798_out.pdbqt
3064,capsaicin,-7.8,runs/full-3L4D-CYP51-screen/docked/3064_out.pdbqt
3174,eicosapentaenoic acid,-7.8,runs/full-3L4D-CYP51-screen/docked/3174_out.pdbqt
328,benzoyl peroxide,-7.8,runs/full-3L4D-CYP51-screen/docked/328_out.pdbqt
3412,oxybenzone,-7.8,runs/full-3L4D-CYP51-screen/docked/3412_out.pdbqt
3481,podophyllotoxin,-7.8,runs/full-3L4D-CYP51-screen/docked/3481_out.pdbqt
4191,fesoterodine,-7.8,runs/full-3L4D-CYP51-screen/docked/4191_out.pdbqt
4303,eslicarbazepine acetate,-7.8,runs/full-3L4D-CYP51-screen/docked/4303_out.pdbqt
43,aceclofenac,-7.8,runs/full-3L4D-CYP51-screen/docked/43_out.pdbqt
4411,dexchlorpheniramine,-7.8,runs/full-3L4D-CYP51-screen/docked/4411_out.pdbqt
450,butoconazole,-7.8,runs/full-3L4D-CYP51-screen/docked/450_out.pdbqt
4663,benzoin,-7.8,runs/full-3L4D-CYP51-screen/docked/4663_out.pdbqt
4864,levomilnacipran,-7.8,runs/full-3L4D-CYP51-screen/docked/4864_out.pdbqt
494,pentoxyverine,-7.8,runs/full-3L4D-CYP51-screen/docked/494_out.pdbqt
499,carbinoxamine,-7.8,runs/full-3L4D-CYP51-screen/docked/499_out.pdbqt
5349,tenapanor,-7.8,runs/full-3L4D-CYP51-screen/docked/5349_out.pdbqt
534,cefditoren pivoxil,-7.8,runs/full-3L4D-CYP51-screen/docked/534_out.pdbqt
535,cefepime,-7.8,runs/full-3L4D-CYP51-screen/docked/535_out.pdbqt
616,chlorphenamine,-7.8,runs/full-3L4D-CYP51-screen/docked/616_out.pdbqt
817,desmopressin,-7.8,runs/full-3L4D-CYP51-screen/docked/817_out.pdbqt
830,dexbrompheniramine,-7.8,runs/full-3L4D-CYP51-screen/docked/830_out.pdbqt
859,cinchocaine,-7.8,runs/full-3L4D-CYP51-screen/docked/859_out.pdbqt
939,docetaxel,-7.8,runs/full-3L4D-CYP51-screen/docked/939_out.pdbqt
942,dofetilide,-7.8,runs/full-3L4D-CYP51-screen/docked/942_out.pdbqt
1128,famciclovir,-7.7,runs/full-3L4D-CYP51-screen/docked/1128_out.pdbqt
1412,ibutilide,-7.7,runs/full-3L4D-CYP51-screen/docked/1412_out.pdbqt
1490,isocarboxazid,-7.7,runs/full-3L4D-CYP51-screen/docked/1490_out.pdbqt
1519,kanamycin,-7.7,runs/full-3L4D-CYP51-screen/docked/1519_out.pdbqt
1889,nedocromil,-7.7,runs/full-3L4D-CYP51-screen/docked/1889_out.pdbqt
2009,oxamniquine,-7.7,runs/full-3L4D-CYP51-screen/docked/2009_out.pdbqt
2105,pergolide,-7.7,runs/full-3L4D-CYP51-screen/docked/2105_out.pdbqt
2267,primidone,-7.7,runs/full-3L4D-CYP51-screen/docked/2267_out.pdbqt
2362,regadenoson,-7.7,runs/full-3L4D-CYP51-screen/docked/2362_out.pdbqt
2374,riboflavin phosphate,-7.7,runs/full-3L4D-CYP51-screen/docked/2374_out.pdbqt
245,artemether,-7.7,runs/full-3L4D-CYP51-screen/docked/245_out.pdbqt
2593,tenofovir disoproxil,-7.7,runs/full-3L4D-CYP51-screen/docked/2593_out.pdbqt
2657,ticlopidine,-7.7,runs/full-3L4D-CYP51-screen/docked/2657_out.pdbqt
2680,tirofiban,-7.7,runs/full-3L4D-CYP51-screen/docked/2680_out.pdbqt
2696,tolbutamide,-7.7,runs/full-3L4D-CYP51-screen/docked/2696_out.pdbqt
2754,trimethobenzamide,-7.7,runs/full-3L4D-CYP51-screen/docked/2754_out.pdbqt
2808,varenicline,-7.7,runs/full-3L4D-CYP51-screen/docked/2808_out.pdbqt
2823,vinblastine,-7.7,runs/full-3L4D-CYP51-screen/docked/2823_out.pdbqt
2834,riboflavin,-7.7,runs/full-3L4D-CYP51-screen/docked/2834_out.pdbqt
2861,zidovudine,-7.7,runs/full-3L4D-CYP51-screen/docked/2861_out.pdbqt
3159,dioxybenzone,-7.7,runs/full-3L4D-CYP51-screen/docked/3159_out.pdbqt
3591,tetryzoline,-7.7,runs/full-3L4D-CYP51-screen/docked/3591_out.pdbqt
3631,triclosan,-7.7,runs/full-3L4D-CYP51-screen/docked/3631_out.pdbqt
4224,pirfenidone,-7.7,runs/full-3L4D-CYP51-screen/docked/4224_out.pdbqt
4270,Padimate O,-7.7,runs/full-3L4D-CYP51-screen/docked/4270_out.pdbqt
520,carteolol,-7.7,runs/full-3L4D-CYP51-screen/docked/520_out.pdbqt
533,cefdinir,-7.7,runs/full-3L4D-CYP51-screen/docked/533_out.pdbqt
